Filename,Wrong Sectors,Accuracy
AccountoidDataBase.java,0/9,1.0
Accountoid.java,0/4,1.0
attribute.py,0/8,1.0
AvmCompare.java,0/15,1.0
backend.js,0/59,1.0
backend.py,0/12,1.0
BlockDoorBlockListener.java,0/17,1.0
BlockDoorEntityListener.java,0/4,1.0
BlockDoor.java,0/6,1.0
BlockDoorPlayerListener.java,0/19,1.0
Board.js,0/4,1.0
BranchAndBound_TSP.java,0/4,1.0
BrowseActivity.java,0/9,1.0
CommandHandler.java,0/39,1.0
connection.py,0/8,1.0
ConsoleCommands.java,0/15,1.0
DataWriter.java,0/48,1.0
default.py,0/3,1.0
DListerHelper.java,0/14,1.0
DoorCommands.java,0/33,1.0
EavGlobalConfigurationProvider.js,0/2,1.0
EditCategoriesActivity.java,0/4,1.0
EditCurrenciesActivity.java,0/9,1.0
EditTransactionActivity.java,0/16,1.0
fingerping.py,0/5,1.0
fingerprints.py,0/17,1.0
frontend.js,0/8,1.0
FunctionCommands.java,0/43,1.0
Instance2.java,0/2,1.0
Instance3.java,0/7,1.0
ipsum.txt,0/88,1.0
ItemCodesHelper.java,0/22,1.0
ItemForm.js,0/10,1.0
jquery.email-autocomplete.js,0/5,1.0
jquery.fileupload-fp.js,0/6,1.0
jquery.ui.widget.js,0/13,1.0
jsPlumb-1.4.0-RC1.js,0/96,1.0
jsPlumb-connection-1.4.0-RC1.js,0/19,1.0
jsPlumb-renderers-svg-1.4.0-RC1.js,0/13,1.0
less.rhino.js,0/73,1.0
LinkCommands.java,0/110,1.0
Link.java,0/4,1.0
migrationManager.js,0/3,1.0
mode-csharp.js,0/25,1.0
mode-dart.js,0/31,1.0
mode-ftl.js,0/43,1.0
mode-glsl.js,0/30,1.0
mode-haml.js,0/15,1.0
mode-html.js,0/65,1.0
mode-jack.js,0/20,1.0
mode-logiql.js,0/16,1.0
mode-protobuf.js,0/32,1.0
mode-rust.js,0/9,1.0
mode-scad.js,0/23,1.0
mode-scala.js,0/40,1.0
mode-sh.js,0/23,1.0
mode-soy_template.js,0/89,1.0
mode-stylus.js,0/14,1.0
mode-twig.js,0/71,1.0
mode-velocity.js,0/87,1.0
OneTreeBNB.java,0/3,1.0
prism.js,0/11,1.0
pystomp.py,0/4,1.0
RadiusBNB.java,0/3,1.0
RelaxBNB.java,0/2,1.0
runner.js,0/5,1.0
SecureRequest.java,0/4,1.0
SpecialCaseCheck.java,0/4,1.0
test_examples.py,0/3,1.0
ui.js,0/91,1.0
UpdateRatesTask.java,0/4,1.0
view.py,0/33,1.0
worker-coffee.js,0/243,1.0
xhtml1-strict.dtd.js,0/19,1.0
yui.jsPlumb-1.4.0-RC1.js,0/9,1.0
ZoneCommands.java,0/3,1.0
ZoneHelper.java,0/10,1.0
Zone.java,0/8,1.0
ZoneMobWatcher.java,0/13,1.0
